tên chuyên ngành,mã chuyên ngành,id
Công nghệ sinh học,7420201,1
Kỹ thuật hóa học,7520301,2
Kỹ thuật điều khiển và tự động hóa,7520216,3
Kỹ thuật y sinh (Điện tử y sinh),7520212,4
Kỹ thuật Điện tử - Viễn thông (Hệ thống nhúng thông minh và IoT),7520207,5
Công nghệ thông tin,7480200,6
Công nghệ thông tin Việt Nhật,7480201,7
Kỹ thuật phần mềm (Một số môn chuyên ngành học bằng Tiếng Anh)*,7480103,8
Trí tuệ nhân tạo và Khoa học dữ liệu,7480101,9
Kỹ thuật cơ điện tử,7520114,10
Kỹ thuật cơ khí,7520103,11
Vật liệu tiên tiến và công nghệ nano,7510402,12